column_name,column_value,precision,recall,fbeta
education,Some-college,0.918918918918919,0.24548736462093862,0.38746438746438744
education,HS-grad,1.0,0.18840579710144928,0.3170731707317073
education,Bachelors,0.7247524752475247,0.8133333333333334,0.7664921465968586
education,Masters,0.8036529680365296,0.8502415458937198,0.8262910798122065
education,Assoc-acdm,0.8181818181818182,0.3829787234042553,0.5217391304347826
education,7th-8th,1.0,0.0,0.0
education,11th,1.0,0.2727272727272727,0.42857142857142855
education,Assoc-voc,0.9565217391304348,0.3492063492063492,0.5116279069767442
education,Prof-school,0.8390804597701149,0.8690476190476191,0.8538011695906432
education,9th,1.0,0.3333333333333333,0.5
education,5th-6th,1.0,0.5,0.6666666666666666
education,10th,1.0,0.08333333333333333,0.15384615384615385
education,Doctorate,0.8392857142857143,0.8245614035087719,0.8318584070796461
education,12th,1.0,0.4,0.5714285714285715
education,1st-4th,1.0,1.0,1.0
education,Preschool,1.0,1.0,1.0
